keyword,tfidf_score,issue_category,category_comment_count
battery,58.35961982877898,Battery / Charging,846
charger,38.811029873923395,Battery / Charging,846
charging,28.317649338278613,Battery / Charging,846
pen,25.139118880761046,Battery / Charging,846
ai,20.44953862672671,Battery / Charging,846
charge,20.209571790348107,Battery / Charging,846
better,18.07574617311796,Battery / Charging,846
life,16.176583690923135,Battery / Charging,846
power,15.825537457894852,Battery / Charging,846
good,15.010450458479742,Battery / Charging,846
features,14.987083216925708,Battery / Charging,846
camera,14.784662100216805,Battery / Charging,846
bluetooth,14.26809655094806,Battery / Charging,846
need,14.216941723455463,Battery / Charging,846
battery life,14.164118763829315,Battery / Charging,846
box,13.864297258229758,Battery / Charging,846
year,13.512437868248313,Battery / Charging,846
powerful,12.836591765986903,Battery / Charging,846
years,12.780548050233747,Battery / Charging,846
buy,12.026922391243499,Battery / Charging,846
buy,33.37502402697527,Price / Value,1005
worth,31.074744976933342,Price / Value,1005
price,30.119646381572622,Price / Value,1005
70,29.001824013068862,Price / Value,1005
better,26.19589319306626,Price / Value,1005
fake,25.150234380231836,Price / Value,1005
money,24.923412060171884,Price / Value,1005
cheap,20.82949160332049,Price / Value,1005
cost,17.95601834360237,Price / Value,1005
year,16.977170963415812,Price / Value,1005
expensive,15.22550660635306,Price / Value,1005
cheaper,14.740288874245518,Price / Value,1005
upgrade,14.091649171563603,Price / Value,1005
value,13.661588114472822,Price / Value,1005
time,12.171126089911048,Price / Value,1005
buying,11.876215172872124,Price / Value,1005
real,11.769592661497807,Price / Value,1005
dollar,11.615193193851553,Price / Value,1005
need,10.709603369804043,Price / Value,1005
years,10.665189302001378,Price / Value,1005
pen,87.1633353366639,S-Pen / Features,1251
bluetooth,51.059403901797864,S-Pen / Features,1251
bluetooth pen,29.322835196666443,S-Pen / Features,1251
spen,26.137505205450065,S-Pen / Features,1251
feature,24.392375711979813,S-Pen / Features,1251
features,23.573617907499667,S-Pen / Features,1251
stylus,22.658795589039393,S-Pen / Features,1251
buy,21.154703821855794,S-Pen / Features,1251
note,18.500962186595842,S-Pen / Features,1251
year,17.377398667162797,S-Pen / Features,1251
upgrade,16.07623249371215,S-Pen / Features,1251
better,15.656370499143833,S-Pen / Features,1251
used,15.22950474031656,S-Pen / Features,1251
removed,14.910449123924684,S-Pen / Features,1251
bring,14.285663782387827,S-Pen / Features,1251
jack,13.420845508940833,S-Pen / Features,1251
remove,13.263680476729771,S-Pen / Features,1251
s22,12.84046415329706,S-Pen / Features,1251
headphone,12.813654455345656,S-Pen / Features,1251
need,12.652693230137231,S-Pen / Features,1251
video,83.06318306254968,Camera,1191
camera,68.09924507995356,Camera,1191
pen,28.830178197716744,Camera,1191
videos,28.200773714553875,Camera,1191
fake,25.788567347801912,Camera,1191
watching,25.717507833808632,Camera,1191
better,23.696382001711033,Camera,1191
ai,22.85625911495743,Camera,1191
zoom,22.731167748649565,Camera,1191
cameras,22.337881890164432,Camera,1191
good,20.41430306573473,Camera,1191
photos,19.877906975978632,Camera,1191
quality,18.358170129168172,Camera,1191
buy,16.707259247192262,Camera,1191
photo,15.99064040724938,Camera,1191
best,15.733762850538875,Camera,1191
year,15.40452277195305,Camera,1191
need,14.915651626326017,Camera,1191
screen,14.20387036648911,Camera,1191
features,13.301857826993905,Camera,1191
think,49.59004622113256,Design / Build,1311
design,40.869100841481334,Design / Build,1311
fake,36.09994136958685,Design / Build,1311
year,27.675125076098464,Design / Build,1311
better,27.387785186897673,Design / Build,1311
real,18.212017626394474,Design / Build,1311
buy,17.53140093238387,Design / Build,1311
looks,15.966080450217481,Design / Build,1311
years,15.763926769492981,Design / Build,1311
thinking,14.470950922078558,Design / Build,1311
know,14.295668763689708,Design / Build,1311
fake phone,14.248940153916001,Design / Build,1311
need,14.242309365472366,Design / Build,1311
upgrade,12.836244719797639,Design / Build,1311
did,12.436155458560469,Design / Build,1311
best,12.413594634228199,Design / Build,1311
good,12.173505132220793,Design / Build,1311
time,11.989133146679821,Design / Build,1311
box,11.583107107066137,Design / Build,1311
awt88k,11.344180174459941,Design / Build,1311
ai,127.89816713967281,AI / Gemini,1798
wait,62.67121989405274,AI / Gemini,1798
waiting,42.345168681495466,AI / Gemini,1798
features,42.29963347246131,AI / Gemini,1798
gemini,37.04826401902454,AI / Gemini,1798
year,32.831137312277356,AI / Gemini,1798
pen,30.360302661054874,AI / Gemini,1798
ai features,27.374450724284724,AI / Gemini,1798
said,26.26852426339343,AI / Gemini,1798
upgrade,25.027495062238316,AI / Gemini,1798
google,24.15502341986353,AI / Gemini,1798
better,24.082662325241476,AI / Gemini,1798
years,23.444103211445437,AI / Gemini,1798
buy,22.986569293694075,AI / Gemini,1798
feature,20.599952475254497,AI / Gemini,1798
available,20.525898551940667,AI / Gemini,1798
time,18.779345758518037,AI / Gemini,1798
going,18.651543929828193,AI / Gemini,1798
need,18.398822379335655,AI / Gemini,1798
think,16.775139224393516,AI / Gemini,1798
android,26.627585387407446,Software / One UI,446
ui,15.889148573060671,Software / One UI,446
software,15.291920945682524,Software / One UI,446
update,13.365315665065811,Software / One UI,446
upgrade,10.451782374141635,Software / One UI,446
years,8.723603600697167,Software / One UI,446
better,8.322102869125837,Software / One UI,446
updates,7.372273687005891,Software / One UI,446
year,6.6591305707992525,Software / One UI,446
software update,5.780000742702236,Software / One UI,446
ios,5.702190071405206,Software / One UI,446
features,5.685488442426306,Software / One UI,446
time,5.366297819608837,Software / One UI,446
release,5.2447849795423265,Software / One UI,446
comments,5.190972674014468,Software / One UI,446
buy,5.189878820088192,Software / One UI,446
quite,4.910727393568736,Software / One UI,446
good,4.770709117729702,Software / One UI,446
