keyword,tfidf_score
ai,247.83198126606283
fake,247.57145594052648
pen,239.87094898340968
better,215.87461782016993
buy,214.3629998109542
year,197.57236059392716
good,164.58844316160105
best,161.91981996580444
watching,155.14203838625752
video,151.10105099210315
camera,147.2874370496094
years,145.34791831399986
upgrade,144.7632373687775
features,142.00550771426654
time,137.7012545203285
need,134.17737302283925
real,124.04561419588808
think,123.66896721187776
battery,122.98446474466081
bluetooth,122.38734199529247
screen,120.67824269430947
70,118.22242555387412
did,114.88812547996298
love,113.52663258571195
know,111.36134093588797
design,101.14043993085009
feature,97.38615654110967
does,97.13857568830983
wait,95.97155038656017
note,94.57922019929826
going,94.47508215395197
s22,90.76772469287098
looks,90.44785016467468
pro,89.10347229315823
series,88.93327253792378
way,87.86417557394375
price,87.54594517813167
android,87.4368575949628
great,87.34668898361069
ve,85.757310597195
actually,83.93944499418787
used,82.17590315659093
im,82.08296255181257
google,80.48288630097939
say,77.73338860573818
plus,77.5108164558023
display,77.16753042803238
comment,76.19477199419124
ll,76.18453138808685
getting,75.57050896174822
